data,type,rate,amount,total
2019-05-04 09:50:23,buy,5643.39,0.0045,25.395255
2019-05-04 09:50:23,buy,5643.39,0.0068,38.375052
2019-05-04 09:50:24,buy,5643.39,0.2341,1321.117599
2019-05-04 09:50:24,sell,5644.99,0.0002,1.128998
2019-05-04 09:50:25,buy,5643.39,0.0064,36.117696
2019-05-04 09:50:25,sell,5644.2,0.0721,406.94682
2019-05-04 09:50:25,sell,5644.98,0.3,1693.494
2019-05-04 09:50:25,sell,5645,0.0123,69.4335
2019-05-04 09:50:25,sell,5645.85,0.3629,2048.878965
2019-05-04 09:50:26,buy,5643.39,0.0052,29.345628
2019-05-04 09:50:27,buy,5643.39,0.3,1693.017
2019-05-04 09:50:28,buy,5643.39,0.0039,22.009221
2019-05-04 09:50:28,buy,5643.39,0.1794,1012.424166
2019-05-04 09:50:28,buy,5642.17,0.0085,47.958445
2019-05-04 09:50:29,sell,5645.84,0.3,1693.752
2019-05-04 09:50:29,sell,5645.85,0.05,282.2925
2019-05-04 09:50:29,sell,5645.86,0.003,16.93758
2019-05-04 09:50:29,buy,5647.37,0.1832,1034.598184
2019-05-04 09:50:29,buy,5647.37,0.0596,336.583252
2019-05-04 09:50:30,buy,5647.37,0.004,22.58948
2019-05-04 09:50:30,buy,5647.37,0.0042,23.718954
2019-05-04 09:50:30,buy,5647.37,0.0048,27.107376
2019-05-04 09:50:31,buy,5647.37,0.0844,476.638028
2019-05-04 09:50:31,buy,5647.37,0.005,28.23685
2019-05-04 09:50:31,buy,5647.37,0.0044,24.848428
2019-05-04 09:50:31,buy,5647.37,0.006,33.88422
2019-05-04 09:50:31,buy,5647.37,0.0025,14.118425
2019-05-04 09:50:32,buy,5647.37,0.01,56.4737
2019-05-04 09:50:32,buy,5647.37,0.005,28.23685
2019-05-04 09:50:32,buy,5647.37,0.0089,50.261593
2019-05-04 09:50:33,buy,5645,0.003,16.935
2019-05-04 09:50:33,buy,5645,0.097,547.565
2019-05-04 09:50:34,sell,5648.26,0.002,11.29652
2019-05-04 09:50:34,buy,5645,0.0162,91.449
2019-05-04 09:50:34,buy,5642.17,0.0837,472.249629
2019-05-04 09:50:35,buy,5642.17,0.0162,91.403154
2019-05-04 09:50:35,sell,5648.23,0.1,564.823
2019-05-04 09:50:36,buy,5643.39,0.0354,199.776006
2019-05-04 09:50:36,buy,5642.17,0.2471,1394.180207
2019-05-04 09:50:36,buy,5642.17,0.0205,115.664485
2019-05-04 09:50:39,buy,5630.86,0.003,16.89258
